0 413 1000000 1000000 442 1000000 61 1000000 381 261
413 0 404 1000000 272 435 406 1000000 415 434
1000000 404 0 1000000 349 35 1000000 1000000 1000000 1000000
1000000 1000000 1000000 0 287 1000000 1000000 231 224 356
442 272 349 287 0 383 399 420 195 293
1000000 435 35 1000000 383 0 1000000 1000000 1000000 1000000
61 406 1000000 1000000 399 1000000 0 486 323 201
1000000 1000000 1000000 231 420 1000000 486 0 245 291
381 415 1000000 224 195 1000000 323 245 0 141
261 434 1000000 356 293 1000000 201 291 141 0
